brand,mm,aperture,port,addon,gearsleeve,publish
Nikon,10.5,f2.8 G ED,L-LD-4512,,N/A,hide
Nikon,10-24,f3.5-4.5 G AF-S DX,L-LP-100,,Please Inquire,show
Nikon,12-24,f4 G AF-S DX,L-LP-100,,Please Inquire,show
Nikon,14,f2.8 AF D ED,L-LD-7012,,N/A,hide
Nikon,14-24,f2.8 G AF-S,L-LD-4512,L-SP-80,Please Inquire,hide
Nikon,16,f2.8 D,L-LD-4512,,N/A,hide
Nikon,16-35,f4 G AF-S VR,L-LP-130,,GS 10-18,show
Nikon,17-35,f2.8 D AF-S,L-LP-70,L-SP-40,Please Inquire,hide
Nikon,17-55,f2.8 G AF-S DX,L-LP-130,,Please Inquire,show
Nikon,18-35,f3.5-4.5 G AF-S,L-LP-100,,Please Inquire,show
Nikon,18-55,f3.5-5.6 G AF-S VR DX,L-LP-90,,GS 18-55,show
Nikon,18-55,f3.5-5.6 G II AF-S DX,L-LP-90,,GS 18-55,show
Nikon,20,f2.8,L-LP-50,,N/A,hide
Nikon,20,f1.8 G ED,L-LP-80,,N/A,show
Nikon,24,f2.8 D,L-LP-50,,N/A,hide
Nikon,24,f1.8 G,L-LP-90,,N/A,show
Nikon,24,f1.4 G ED,L-LP-90,,N/A,show
Nikon,24-70,f2.8 G AF-S,L-LP-130,L-SP-40,Please Inquire,show
Nikon,24-70,f2.8 E AF-S VR,L-LP-130,L-SP-50,Please Inquire,show
Nikon,28,f2.8 D,L-LP-65,,N/A,show
Nikon,28,f2.8 G,L-LP-90,,N/A,show
Nikon,35,f2,L-LP-65,,N/A,show
Nikon,35,f1.8 G DX,L-LP-65,,N/A,show
Nikon,35,f1.8 G AF-S,L-LP-80,,N/A,show
Nikon,35,f1.4 G,L-LP-90,,N/A,show
Nikon,50,f1.8 D AF,L-LP-50,,N/A,hide
Nikon,50,f1.8 G AF-S,L-LP-65,,N/A,show
Nikon,50,f1.4 G AF-S,L-LP-65,,N/A,show
Nikon,50,f1.4 D AF,L-LP-65,,N/A,show
Nikon,58,f1.4 G AF-S,L-LP-80,,N/A,show
Nikon,70-200,f4 VR,L-LP-190,,Please Inquire,hide
Nikon,70-200,f2.8 VR II,L-LP-220,,Please Inquire,show
Nikon,70-200,f2.8 VR,L-LP-220,,Please Inquire,show
Nikon,85,f1.8 G,L-LP-80,,N/A,show
Nikon,85,f1.4 D,L-LP-80,,N/A,show
Nikon,85,f1.4 G,L-LP-90,,N/A,show
