brand,mm,aperture,port,gearsleeve
Sigma,8-16,f4.5-5.6,L-LD/4512 plus LSP/60,Please Inquire
Sigma,10,f2.8 EX DC HSM,L-LD/5012,N/A
Sigma,10-20, f4-5.6,L-Lp/90,GS 24-70 f2.8
Sigma,10-20,f3.5,L-LP/100; L-LP/65 plus LSP30,Please Inquire
Sigma,12-24,f4.5-5.6,L-LP/120,Please Inquire
Sigma,15,f2.8 EX DG,L-LD/4512,N/A
Sigma,24,f1.4 DG ART,L-LP/100,N/A
Sigma,24-35,f2 ART,L-LP/130,Please Inquire
Sigma,30,f1.4 DC ART,L-LP/65 ,N/A
Sigma,35,f1.4 DG ART,L-LP/100,N/A
Sigma,50,f1.4 EX DG HSM ART,L-LP/70,N/A
Sigma,50,f1.4 DG ART,L-LP/65 plus LSP40,N/A
Sigma,85,f1.4 EX DG HSM,L-LP/90,N/A
